County,Year,Income,Population
La Plata County,1997,36822,41654
Montrose County,1997,32312,31460
Fremont County,1997,29939,43825
Arapahoe County,1997,50748,462681
Huerfano County,1997,21389,7553
Kit Carson County,1997,32964,7614
Jackson County,1997,29031,1534
Jefferson County,1997,54175,507371
Otero County,1997,25143,20777
Cheyenne County,1997,0,2261
Dolores County,1997,25826,1680
San Juan County,1997,27635,555
San Miguel County,1997,42160,5991
Douglas County,1997,77513,130505
Phillips County,1997,32863,4523
Yuma County,1997,31639,9637
Pueblo County,1997,29112,134792
Bent County,1997,26427,5539
Montezuma County,1997,30882,22989
Chaffee County,1997,30881,15195
Clear Creek County,1997,56537,8981
Gunnison County,1997,32300,13186
Rio Blanco County,1997,40921,6199
Moffat County,1997,42476,12651
Ouray County,1997,38465,3323
Teller County,1997,45552,19173
Gilpin County,1997,51044,4101
Prowers County,1997,28881,14237
Denver County,1997,35616,536678
Costilla County,1997,18700,3605
Weld County,1997,35351,161525
Elbert County,1997,52636,17011
Garfield County,1997,40923,39210
Conejos County,1997,20708,8056
Hinsdale County,1997,32993,737
Custer County,1997,29797,3195
Morgan County,1997,31197,26167
Baca County,1997,26731,4563
Summit County,1997,45857,20976
Lincoln County,1997,29117,5978
Logan County,1997,33076,19803
Lake County,1997,34986,7265
Adams County,1997,40802,332462
Saguache County,1997,22419,5543
Eagle County,1997,50000,35879
Crowley County,1997,23524,4997
Pitkin County,1997,52744,14920
Alamosa County,1997,28204,14634
Sedgwick County,1997,28209,2696
Mesa County,1997,33519,110566
Washington County,1997,29870,5019
Las Animas County,1997,22682,14621
Archuleta County,1997,30518,8498
Larimer County,1997,43853,233746
Kiowa County,1997,32455,1632
Park County,1997,46090,12437
Boulder County,1997,50245,270744
Grand County,1997,38865,11005
El Paso County,1997,42023,486934
Mineral County,1997,29810,724
Delta County,1997,27418,26177
Rio Grande County,1997,25808,11990
Routt County,1997,42799,18313
Park County,1998,49712,13154
Adams County,1998,44327,343094
Delta County,1998,29161,26970
Gilpin County,1998,53136,4337
Lincoln County,1998,30380,6070
Cheyenne County,1998,37101,2334
Summit County,1998,47456,21702
Montrose County,1998,33659,32201
Conejos County,1998,21752,8205
Las Animas County,1998,24375,14765
Gunnison County,1998,34097,13488
Jefferson County,1998,55869,513706
Teller County,1998,48476,19737
Denver County,1998,38943,540893
Baca County,1998,29021,4548
