County,Year,population,GDP_pct_Change,House_Price,Income,Priced_Out
Adams,2010,441603,6.78,186967,52785,N
Adams,2011,451443,15.78,176663,52429,N
Adams,2012,459861,-0.17,181640,55695,N
Adams,2013,469377,10.03,204357,54876,N
Adams,2014,479488,17.6,228642,59316,N
Adams,2015,489822,-4.95,263220,62991,N
Adams,2016,497395,-5.13,296396,65442,N
Alamosa,2010,15445,-10.87,95653,36339,N
Alamosa,2011,16117,29.5,93893,36870,N
Alamosa,2012,16092,-10.25,98326,37731,N
Alamosa,2013,16200,16.23,106296,37484,N
Alamosa,2014,16213,-4.7,113325,38140,N
Alamosa,2015,16305,15.47,126939,40067,N
Alamosa,2016,16456,-10.4,138149,37057,N
Arapahoe,2010,572003,-0.03,440049,58152,Y
Arapahoe,2011,584955,34.5,420176,57042,Y
Arapahoe,2012,595094,-4.92,430249,60525,Y
Arapahoe,2013,606839,-5.77,469031,61092,Y
Arapahoe,2014,617385,5.3,496183,65359,Y
Arapahoe,2015,628834,9.38,553128,67062,Y
Arapahoe,2016,636949,-4.35,604530,70866,Y
Archuleta,2010,12084,-9.2,269932,46165,Y
Archuleta,2011,12014,-5.58,265869,48043,Y
Archuleta,2012,12124,170.67,267919,46127,Y
Archuleta,2013,12205,27.87,281679,44417,Y
Archuleta,2014,12222,0.55,303034,44508,Y
Archuleta,2015,12382,3.87,334201,50361,Y
Archuleta,2016,12836,6.53,355895,51998,Y
Baca,2010,3788,-11.75,41644,33086,N
Baca,2011,3778,5.45,40941,34168,N
Baca,2012,3722,-23.13,42373,37775,N
Baca,2013,3655,67.13,44097,35787,N
Baca,2014,3586,-10.5,49411,36294,N
Baca,2015,3552,-33.45,56423,35405,N
Baca,2016,3548,-29.23,62451,34070,N
Bent,2010,6499,-2.18,53066,33702,N
Bent,2011,6328,9.22,49752,35522,N
Bent,2012,5816,-6.73,48931,33540,N
Bent,2013,5733,19.18,53157,34440,N
Bent,2014,5784,0.25,56971,35424,N
Bent,2015,5893,-14.14,62752,36630,N
Bent,2016,5681,-17.02,69981,33951,N
Boulder,2010,294567,-0.63,332609,62215,Y
Boulder,2011,300518,82.52,328156,68101,N
Boulder,2012,305028,-13.3,329063,66894,N
Boulder,2013,309749,13.8,344851,71405,N
Boulder,2014,312505,3.8,369085,71546,Y
Boulder,2015,317968,21.02,404136,72392,Y
Boulder,2016,321173,-8.72,452788,74772,Y
Broomfield,2010,55889,16.7,282816,76006,N
Broomfield,2011,57445,11.45,276363,79051,N
Broomfield,2012,58899,8.03,281535,81040,N
Broomfield,2013,60065,19.08,303451,79117,N
Broomfield,2014,61706,-11.34,330901,85885,N
Broomfield,2015,64796,31.28,363728,86548,N
Broomfield,2016,66509,-4.82,406099,86870,N
Chaffee,2010,17809,-3.02,220862,42420,Y
Chaffee,2011,18019,-2.92,219015,44156,Y
Chaffee,2012,18142,5.42,222104,44651,Y
Chaffee,2013,18347,22.93,235149,48012,N
Chaffee,2014,18439,0.37,254427,48840,Y
Chaffee,2015,18582,44.17,279130,50947,Y
Chaffee,2016,19082,8.75,305933,49877,Y
Cheyenne,2010,1836,5.4,62401,44464,N
Cheyenne,2011,1853,-6.94,63988,46965,N
Cheyenne,2012,1862,-5.55,83699,51093,N
Cheyenne,2013,1869,47.93,85537,50379,N
Cheyenne,2014,1834,-12.95,90876,52273,N
Cheyenne,2015,1811,-38.55,101728,50620,N
Cheyenne,2016,1834,-27.38,110930,50558,N
Conejos,2010,8256,-15.87,73055,32254,Y
Conejos,2011,8279,88.87,72392,32588,Y
Conejos,2012,8239,1.06,71251,31970,Y
Conejos,2013,8192,51.9,77403,34923,Y
Conejos,2014,8224,14.22,80942,33998,Y
Conejos,2015,8061,5.6,89972,37102,Y
Conejos,2016,8072,-15.66,98238,34390,Y
Costilla,2010,3524,-13.55,73601,27305,N
Costilla,2011,3636,269.68,75225,26125,N
Costilla,2012,3597,-35.63,75428,26075,N
Costilla,2013,3535,45.65,83403,28233,N
Costilla,2014,3554,-0.3,81369,27882,N
Costilla,2015,3569,16.63,85957,27944,N
Costilla,2016,3705,-25.68,93928,27211,N
Crowley,2010,5823,-18.98,39722,34569,N
Crowley,2011,5859,80.98,33937,30279,N
Crowley,2012,5435,-3.43,34291,30460,N
Crowley,2013,5321,8.3,37357,31477,N
Crowley,2014,5586,-18.4,39135,32570,N
Crowley,2015,5597,2.75,42276,35405,N
Crowley,2016,5254,-32.25,45537,35873,N
Custer,2010,4255,-3,140697,42951,N
Custer,2011,4228,-11.07,131926,45791,N
Custer,2012,4222,7.97,133130,46744,N
Custer,2013,4265,21.85,142651,47268,N
Custer,2014,4345,1.53,156348,48368,N
Custer,2015,4439,241.78,168737,43995,N
Custer,2016,4601,-35,179953,52021,N
Delta,2010,30952,-3.18,185859,40288,N
Delta,2011,30372,38.13,184698,41442,N
Delta,2012,30449,-0.57,187336,41208,N
Delta,2013,30321,-2.55,199705,41730,N
Delta,2014,29947,38.13,211448,45283,N
Delta,2015,29902,4.98,229343,42586,N
Delta,2016,30346,-17.47,245980,41798,N
Denver,2010,600158,687.67,243144,45415,N
Denver,2011,619356,-6.63,233125,47584,N
Denver,2012,633798,18.43,241457,50455,N
Denver,2013,648049,4.5,267806,51156,N
Denver,2014,663271,5.3,295127,54872,N
Denver,2015,681618,12.73,334191,57886,N
Denver,2016,694777,-4.08,373187,61038,N
Dolores,2010,2064,-13.03,68571,40511,Y
Dolores,2011,2044,459.88,68169,39650,Y
Dolores,2012,2009,-12.85,149670,39254,Y
Dolores,2013,2033,17.47,139985,42416,Y
Dolores,2014,1977,42.1,141179,44235,Y
Dolores,2015,1980,-10.18,145146,44829,Y
Dolores,2016,2062,-0.7,155149,46791,Y
Douglas,2010,285465,14.16,351189,97806,N
Douglas,2011,292370,0.6,345472,95973,N
Douglas,2012,298446,15.2,356044,98426,N
Douglas,2013,305944,1.9,391405,105192,N
Douglas,2014,314250,13.12,416145,107250,N
Douglas,2015,321484,-0.17,448270,109926,N
Douglas,2016,327722,4.88,483302,112399,N
Eagle,2010,52197,-18.68,636962,69182,Y
Eagle,2011,51892,20.67,550638,67190,Y
Eagle,2012,52189,-5.72,532394,69870,Y
Eagle,2013,52685,15.27,535435,78517,Y
Eagle,2014,53143,29.62,590664,76661,Y
Eagle,2015,53664,0.82,627296,75191,Y
Eagle,2016,54364,4.07,648338,79556,Y
Elbert,2010,23086,-4.03,210261,78550,Y
Elbert,2011,23168,2.73,205012,78029,Y
Elbert,2012,23262,-4.77,205650,81528,Y
Elbert,2013,23529,14.2,217628,80972,Y
Elbert,2014,23998,1.64,235148,83603,Y
Elbert,2015,24553,-6.94,261151,90270,Y
Elbert,2016,25041,9.82,283018,86693,Y
Fremont,2010,46824,-11.15,147783,40543,Y
Fremont,2011,47315,-5.08,152923,41493,Y
Fremont,2012,46975,-1.8,164131,40809,Y
Fremont,2013,46260,-2.75,170448,41412,Y
Fremont,2014,46075,5.05,187641,41385,Y
Fremont,2015,46204,10.05,170941,41967,Y
Fremont,2016,46906,1.48,184141,46372,Y
Garfield,2013,56888,13.7,263524,57364,N
Garfield,2014,57120,3.95,278556,62529,N
Garfield,2015,57691,3.67,329739,64487,N
Garfield,2016,58906,0.32,337179,69161,N
Gilpin,2010,5441,26.1,217717,63024,N
Gilpin,2011,5418,-23.53,209718,60537,N
Gilpin,2012,5420,-2.23,212760,61447,N
Gilpin,2013,5520,12.4,222191,64962,N
Gilpin,2014,5736,-5.55,240471,64752,N
Gilpin,2015,5791,6.4,260309,67389,N
Gilpin,2016,5905,-4.37,275615,65472,N
Grand,2013,14296,46.35,258935,57312,N
Grand,2014,14536,4.42,280314,59379,N
Grand,2015,14685,6.15,303932,59885,Y
Grand,2016,15129,-10.68,322477,63875,Y
Gunnison,2010,15324,-15.13,224516,47698,N
Gunnison,2011,15444,-0.65,221403,43069,N
Gunnison,2012,15431,6.57,220403,49861,N
Gunnison,2013,15646,10.6,229856,48391,N
Gunnison,2014,15835,-4.5,245070,48940,N
Gunnison,2015,16166,4.48,265975,47619,Y
Gunnison,2016,16491,3.62,289820,53753,Y
Hinsdale,2015,764,4.25,278630,58613,Y
Hinsdale,2016,787,-6.7,312527,51717,Y
Huerfano,2010,6711,-13.63,65740,31696,Y
Huerfano,2011,6519,-10.2,62117,30655,Y
Huerfano,2012,6557,-17.86,62459,31574,Y
Huerfano,2013,6455,38.62,104514,32418,Y
Huerfano,2014,6389,8.78,106835,32750,Y
Huerfano,2015,6400,-17.65,137642,33098,Y
