County,Year,House_price
Adams County,1997,128133.4056
Adams County,1998,138042.4722
Adams County,1999,153253.5333
Adams County,2000,175973.1778
Adams County,2001,201303.3556
Adams County,2002,213591.8667
Adams County,2003,218562.1333
Adams County,2004,219396.2833
Adams County,2005,223075.4278
Adams County,2006,223455.2611
Adams County,2007,214908.4444
Adams County,2008,193579.5722
Adams County,2009,183917.5889
Adams County,2010,186966.95
Adams County,2011,176663.4056
Adams County,2012,181639.65
Adams County,2013,204357.1778
Adams County,2014,228642.0944
Adams County,2015,263220.0389
Adams County,2016,296396.3889
Alamosa County,1997,67630.875
Alamosa County,1998,66069.17778
Alamosa County,1999,69118.44444
Alamosa County,2000,73833.47222
Alamosa County,2001,77740
Alamosa County,2002,82612.38889
Alamosa County,2003,85057.94872
Alamosa County,2004,88569.77778
Alamosa County,2005,91630
Alamosa County,2006,93505.58333
Alamosa County,2007,96681.47222
Alamosa County,2008,96776.72222
Alamosa County,2009,97040.5
Alamosa County,2010,95653.25
Alamosa County,2011,93893.27778
Alamosa County,2012,98326.16667
Alamosa County,2013,106295.5556
Alamosa County,2014,113325.0833
Alamosa County,2015,126939.1667
Alamosa County,2016,138148.7778
Arapahoe County,1997,269897.3036
Arapahoe County,1998,281234.131
Arapahoe County,1999,314151.2202
Arapahoe County,2000,360547.9464
Arapahoe County,2001,409783.4345
Arapahoe County,2002,428854.6964
Arapahoe County,2003,434402.7033
Arapahoe County,2004,440531.5238
Arapahoe County,2005,458011.5119
Arapahoe County,2006,469848.5655
Arapahoe County,2007,470148.1429
Arapahoe County,2008,449412.006
Arapahoe County,2009,441102.8988
Arapahoe County,2010,440048.7738
Arapahoe County,2011,420175.9762
Arapahoe County,2012,430249.125
Arapahoe County,2013,469030.7976
Arapahoe County,2014,496182.7679
Arapahoe County,2015,553127.5595
Arapahoe County,2016,604530.1786
Archuleta County,1997,nan
Archuleta County,1998,nan
Archuleta County,1999,nan
Archuleta County,2000,nan
Archuleta County,2001,nan
Archuleta County,2002,nan
Archuleta County,2003,nan
Archuleta County,2004,nan
Archuleta County,2005,196484.4
Archuleta County,2006,219535.1667
Archuleta County,2007,229154
Archuleta County,2008,281004.6667
Archuleta County,2009,279217.7917
Archuleta County,2010,269932.5
Archuleta County,2011,265868.625
Archuleta County,2012,267919.4583
Archuleta County,2013,281679.1667
Archuleta County,2014,303034.0417
Archuleta County,2015,334200.625
Archuleta County,2016,355895.3333
Baca County,1997,nan
Baca County,1998,nan
Baca County,1999,nan
Baca County,2000,nan
Baca County,2001,nan
Baca County,2002,nan
Baca County,2003,nan
Baca County,2004,nan
Baca County,2005,nan
Baca County,2006,58948
Baca County,2007,57712
Baca County,2008,43461.70833
Baca County,2009,43952.41667
Baca County,2010,41644.33333
Baca County,2011,40941.125
Baca County,2012,42373.25
Baca County,2013,44096.54167
Baca County,2014,49411.41667
Baca County,2015,56423.41667
Baca County,2016,62451.16667
Bent County,1997,nan
Bent County,1998,nan
Bent County,1999,nan
Bent County,2000,nan
Bent County,2001,nan
Bent County,2002,nan
Bent County,2003,nan
Bent County,2004,nan
Bent County,2005,56247.33333
Bent County,2006,56253.13889
Bent County,2007,55830.91667
Bent County,2008,57921.83333
Bent County,2009,56075.08333
Bent County,2010,53065.91667
Bent County,2011,49752.16667
Bent County,2012,48931.25
Bent County,2013,53157.22222
Bent County,2014,56971.05556
Bent County,2015,62752.47222
Bent County,2016,69980.72222
Boulder County,1997,189895.2179
Boulder County,1998,202819.4808
Boulder County,1999,225650.4679
Boulder County,2000,258851.7244
Boulder County,2001,295944.9167
Boulder County,2002,310542.6795
Boulder County,2003,309111.1538
Boulder County,2004,317560.7756
Boulder County,2005,328216.7692
Boulder County,2006,337377.0769
Boulder County,2007,337270.6987
Boulder County,2008,339331.9359
Boulder County,2009,335253.5
Boulder County,2010,332609.4295
Boulder County,2011,328155.6026
Boulder County,2012,329063.2115
Boulder County,2013,344851.1218
Boulder County,2014,369085.3333
Boulder County,2015,404136.2885
Boulder County,2016,452788.4744
Broomfield County,1997,183467.75
Broomfield County,1998,194147.5833
Broomfield County,1999,217896.5833
Broomfield County,2000,244054.3333
Broomfield County,2001,270337.9167
Broomfield County,2002,274604.5
Broomfield County,2003,280876.6154
Broomfield County,2004,288632.5833
Broomfield County,2005,294996.25
Broomfield County,2006,298929.5833
Broomfield County,2007,297739.1667
Broomfield County,2008,292330.0833
Broomfield County,2009,291792
Broomfield County,2010,282816.25
Broomfield County,2011,276362.6667
Broomfield County,2012,281535.3333
Broomfield County,2013,303451
Broomfield County,2014,330901
Broomfield County,2015,363728.3333
Broomfield County,2016,406099.3333
Chaffee County,1997,nan
Chaffee County,1998,nan
Chaffee County,1999,nan
Chaffee County,2000,nan
Chaffee County,2001,nan
Chaffee County,2002,nan
Chaffee County,2003,nan
Chaffee County,2004,nan
Chaffee County,2005,203499.2208
Chaffee County,2006,214001.9792
Chaffee County,2007,223992
Chaffee County,2008,228317.125
Chaffee County,2009,226040.2917
Chaffee County,2010,220861.6458
Chaffee County,2011,219015.375
Chaffee County,2012,222104.0417
Chaffee County,2013,235149.25
Chaffee County,2014,254426.7292
Chaffee County,2015,279130.4792
Chaffee County,2016,305932.5417
Cheyenne County,1997,nan
Cheyenne County,1998,nan
Cheyenne County,1999,nan
Cheyenne County,2000,nan
Cheyenne County,2001,nan
Cheyenne County,2002,nan
Cheyenne County,2003,nan
Cheyenne County,2004,nan
Cheyenne County,2005,nan
Cheyenne County,2006,nan
Cheyenne County,2007,nan
Cheyenne County,2008,65876.86111
Cheyenne County,2009,63355.13889
Cheyenne County,2010,62401.22222
Cheyenne County,2011,63987.52778
Cheyenne County,2012,83698.70833
Cheyenne County,2013,85536.625
Cheyenne County,2014,90876.375
Cheyenne County,2015,101727.6875
Cheyenne County,2016,110930.25
Clear Creek County,1997,nan
Clear Creek County,1998,nan
Clear Creek County,1999,145299.3333
Clear Creek County,2000,161083.75
Clear Creek County,2001,170541.5833
Clear Creek County,2002,187841.1667
Clear Creek County,2003,193020.3846
Clear Creek County,2004,199351.1667
Clear Creek County,2005,188289.228
Clear Creek County,2006,184212.6389
Clear Creek County,2007,185968.6111
Clear Creek County,2008,187061.7778
Clear Creek County,2009,182400.4444
Clear Creek County,2010,174930.375
Clear Creek County,2011,171039.8611
Clear Creek County,2012,172738.5417
Clear Creek County,2013,183208.0139
Clear Creek County,2014,198068.1389
Clear Creek County,2015,217298.9028
Clear Creek County,2016,236831.9167
